English,Vietnamese
part,phần
history,lịch sử
search,Tìm kiếm
only,chỉ có
police,cảnh sát viên
thought,tư tưởng
help,Cứu giúp
request,lời yêu cầu
kind,tốt bụng
month,tháng
let,để cho
because,tại vì
to put,để đặt
no,không
leash,dây xích
them,họ
city,thành phố
speak,nói
come,đến
should,Nên
baby,đứa bé
long time,thời gian dài
will,sẽ
while,trong khi
meet again,gặp lại nhau
any,không tí nào
speak,nói
understood,hiểu
knew,biết
were,là
here is,đây là
could,có thể
case,trường hợp
give,cho
type,loại hình
their,của chúng
body,thân hình
place,nơi
eyes,nhìn
listen,nghe
lost,mất đi
first,Đầu tiên
side,cạnh
power,sức mạnh
here,nơi đây
so much,rất nhiều
child,đứa trẻ
point,điểm
came,đã đến
after,sau
sorry,lấy làm tiếc
come,đến
in front of,ở đằng trước
towards,đối với
minutes,phút
request,lời yêu cầu
bedroom,Phòng ngủ
beautiful,xinh đẹp
today,hôm nay
husband,người chồng
finally,cuối cùng
water,nước
Wait,Chờ đợi
left,bên trái
new,Mới
Stop,Dừng lại
would say,sẽ nói
account,tài khoản
given,được
far,xa
end,chấm dứt
believe,tin
sweetheart,người yêu
large,lớn
will have,sẽ có
girls,Cô gái
to play,chơi
office,văn phòng
